brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen
Ius6,Illuminated Brew Works,415 N. Sangamon Ave.,Chicago,IL,West Loop,http://www.ibw-chicago.com,NA,"-87.65109,41.889877",111767866,yes,41.889877,-87.65109,no,no,no
Jls6,Jolly Pumpkin Artisan Ales,1504 E. Harper Court,Chicago,IL,Hyde Park,http://www.jollypumpkin.com/jp/locations,kitchen & beer,NA,NA,yes,NA,NA,no,no,yes
Kg.9,Kings & Convicts Brewing Co.,523 Bank Ln.,Highwood,IL,NA,http://www.kingsandconvicts.com/,tap room,"-87.81219,42.205776",119689170,no,42.205776,-87.81219,yes,no,no
Ks.3,Kinslahger Brewing Co.,6806 Roosevelt Rd.,Oak Park,IL,NA,https://www.facebook.com/Kinslahger/,tap room,"-87.79409,41.865154",111794120,no,41.865154,-87.79409,yes,no,no
La.2,Lunar Brewing Co.,54 E. St. Charles Rd. #11,Villa Park,IL,NA,https://www.facebook.com/pages/LunaR-brewing-co/139344792806036?rf=252831751430609,tap room,NA,NA,no,NA,NA,yes,no,no
Le.10,Lake Effect Brewing Co.,4727 W. Montrose Ave.,Chicago,IL,Irving Park,http://www.lakeeffectbrewing.com,"tour, Bottle Shop","-87.74621,41.960735",111755225,yes,41.960735,-87.74621,no,yes,no
Le.5,Lake Bluff Brewing Co.,16 E. Scranton Ave.,Lake Bluff,IL,NA,http://www.lbbrew.com,tap room,"-87.84529,42.279694",119646840,no,42.279694,-87.84529,yes,no,no
Lhy2,Light the Lamp Brewery,10 N. Lake St.,Grayslake,IL,NA,http://www.lightthelampbrewery.com,tap room,"-88.04372,42.344482",119635995,no,42.344482,-88.04372,yes,no,no
Lig8,Living Proof Brewing,1480 Old Deerfield Rd.,Highland Park,IL,NA,https://www.facebook.com/Lpbrewing/,NA,"-87.81546,42.17931",119696129,no,42.17931,-87.81546,no,no,no
Lr.8,LaGrow Organic Beer Co.,NA,Chicago,IL,NA,http://www.lagrowbeer.com/,NA,NA,NA,no,NA,NA,no,no,no
LRg10,Lo Rez Brewing,2101 S Carpenter St.,Chicago,IL,Pilsen,http://lorezbrewing.com,tap room,"-87.65308,41.85375",111827931,yes,41.85375,-87.65308,yes,no,no
Lu.4,Lagunitas Brewing Co.,1843 S. Washtenaw Ave.,Chicago,IL,Douglas Park,http://lagunitas.com,"kitchen & beer, tour","-87.69315,41.85722",605053564,yes,41.85722,-87.69315,no,yes,yes
Mag4,Metal Monkey Brewing,515 Anderson Dr. #900,Romeoville,IL,NA,http://www.metalmonkeybrewing.com/#!home/mainPage,tap room,"-88.07799,41.64518",641432567,no,41.64518,-88.07799,yes,no,no
Md.8,Middle Brow Beer Co.,Location varies,NA,NA,NA,http://www.middlebrowbeer.com,NA,NA,NA,no,NA,NA,no,no,no
Md.9,Moody Tongue Brewing Co.,2136 S. Peoria St.,Chicago,IL,Pilsen,http://moodytongue.com,kitchen & beer,"-87.64816,41.853573",605111951,yes,41.853573,-87.64816,no,no,yes
Me.7,More Brewing Co.,126 S. Villa Ave.,Villa Park,IL,NA,https://www.facebook.com/morebrewingco/,kitchen & beer,"-87.96917,41.892006",112543290,no,41.892006,-87.96917,no,no,yes
Meg7,Mikerphone Brewing,121 Garlisch Dr.,Elk Grove Village,IL,NA,http://www.mikerphonebrewing.com,tap room,"-87.96762,42.029408",111717347,no,42.029408,-87.96762,yes,no,no
