Bdy2,"4727 W. Montrose Ave., Chicago, IL,  ",Match,Exact,"4727 W MONTROSE AVE, CHICAGO, IL, 60641","-87.74621,41.960735",111755225,L
Le.10,"4727 W. Montrose Ave., Chicago, IL,  ",Match,Exact,"4727 W MONTROSE AVE, CHICAGO, IL, 60641","-87.74621,41.960735",111755225,L
5aa5,"6399 W. 74th St., Bedford Park, IL,  ",Match,Exact,"6399 W 74TH ST, BEDFORD PARK, IL, 60638","-87.78018,41.757576",111811263,L
Bgs1,"17400 Oak Park Ave., Tinley Park, IL,  ",Match,Exact,"17400 OAK PARK AVE, TINLEY PARK, IL, 60477","-87.78436,41.574974",111702493,R
Rig9,"615 Roger Williams Ave., Highland Park, IL,  ",Match,Exact,"615 ROGER WILLIAMS AVE, HIGHLAND PARK, IL, 60035","-87.78612,42.165504",119651891,R
3 .2,"7144 W. 183rd St., Tinley Park, IL,  ",Match,Exact,"7144 183RD ST, TINLEY PARK, IL, 60477","-87.791595,41.55857",638598086,R
Ks.3,"6806 Roosevelt Rd., Oak Park, IL,  ",Match,Exact,"6806 ROOSEVELT RD, OAK PARK, IL, 60304","-87.79409,41.865154",111794120,R
Fpy4,"6833 Stanley Ave., Berwyn, IL,  ",Match,Exact,"6833 STANLEY AVE, BERWYN, IL, 60402","-87.7943,41.83336",111794718,R
O .2,"155 S. Oak Park Ave., Oak Park, IL,  ",Match,Exact,"155 S OAK PARK AVE, OAK PARK, IL, 60302","-87.79446,41.886402",605117293,R
T g7,"1025 N Waukegan Rd., Glenview, IL,  ",Match,Exact,"1025 WAUKEGAN RD, GLENVIEW, IL, 60025","-87.79883,42.07362",111734091,R
Kg.9,"523 Bank Ln., Highwood, IL,  ",Match,Exact,"523 BANK LN, HIGHWOOD, IL, 60040","-87.81219,42.205776",119689170,L
Hl.2,"8060 186th St., Tinley Park, IL,  ",Match,Exact,"8060 186TH ST, TINLEY PARK, IL, 60487","-87.81428,41.553066",111593063,L
Lig8,"1480 Old Deerfield Rd., Highland Park, IL,  ",Match,Non_Exact,"1480 DEERFIELD PL, HIGHLAND PARK, IL, 60035","-87.81546,42.17931",119696129,L
Et.1,"7700 W Madison, Forest Park, IL,  ",Match,Non_Exact,"7700 MADISON ST, FOREST PARK, IL, 60130","-87.81695,41.879395",111754555,L
Sng6,"8201 183rd St., Tinley Park, IL,  ",Match,Exact,"8201 183RD ST, TINLEY PARK, IL, 60477","-87.81752,41.557327",641702678,R
Le.5,"16 E. Scranton Ave., Lake Bluff, IL,  ",Match,Exact,"16 E SCRANTON AVE, LAKE BLUFF, IL, 60044","-87.84529,42.279694",119646840,L
Ti.3,"20 Kansas St, Frankfort, IL,  ",Match,Exact,"20 KANSAS ST, FRANKFORT, IL, 60423","-87.85024,41.49847",111550914,R
U y10,"9082 W. Golf Rd., Niles, IL,  ",Match,Exact,"9082 GOLF RD, NILES, IL, 60714","-87.85204,42.05421",605003779,R
Rkk6,"16156 S. La Grange Rd., Orland Park, IL,  ",Match,Exact,"16156 LA GRANGE RD, ORLAND PARK, IL, 60467","-87.85266,41.59404",111883950,R
